version,program_version,seed,generator_seed_hex,n,directional,cleared,all_clear,virtual_time_s,average_clear_time_s,move_time_s,action_time_s,measure_count,channel_switch_count,clear_failure_count,census_count,wall_time_s,counts_match,time_accounting_match,code_unchanged_during_run,network_access,benchmark_sha256,simulator_sha256
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90043,ec95ff408e05629b6cc245cdb9114817f015104fda32b44957ff950c23fb6a9d,16,13,16,True,4353.536241,272.0960150625,3059.536241,1294.0,188,178,32,19,1.5940000000009604,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90044,192168ff9856dfff83d682d6436552d3ae48ef0dbee714dc6c0e8f879256af97,15,7,15,True,5391.275122,359.4183414666667,4142.275122,1249.0,174,163,47,19,2.014999999999418,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90044,192168ff9856dfff83d682d6436552d3ae48ef0dbee714dc6c0e8f879256af97,15,7,15,True,5391.275122,359.4183414666667,4142.275122,1249.0,174,163,47,19,2.0929999999971187,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90045,5a2867d703ca53d98756f388ddc0f10fef87f3012f236c4352be1349885d6b54,11,11,11,True,5767.918614,524.3562376363636,3974.918614,1793.0,275,261,34,18,1.7190000000009604,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90045,5a2867d703ca53d98756f388ddc0f10fef87f3012f236c4352be1349885d6b54,11,11,11,True,5767.918614,524.3562376363636,3974.918614,1793.0,275,261,34,18,1.7190000000009604,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90046,4ea2c0aca48a09664e041b873c6467bd925c65b736d52cf937b5601c62473d0a,11,3,11,True,5278.05057,479.82277909090914,3847.05057,1431.0,228,218,6,20,1.9370000000017171,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90046,4ea2c0aca48a09664e041b873c6467bd925c65b736d52cf937b5601c62473d0a,11,3,11,True,5266.113788,478.73761709090905,3847.113788,1419.0,226,216,6,20,1.9060000000026776,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90047,adfbd37fc8e1fb574779a1a361fc71c824c4ef3c2ba4965200a9f77f9b36c398,12,12,11,False,5279.551697,479.9592451818182,3637.551697,1642.0,255,240,24,20,1.875,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90047,adfbd37fc8e1fb574779a1a361fc71c824c4ef3c2ba4965200a9f77f9b36c398,12,12,11,False,5279.551697,479.9592451818182,3637.551697,1642.0,255,240,24,20,1.9379999999982829,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90048,7dce8a94a11d6ffb0e9a910296bc76a66a47fa05dd4484665e8196d571bf8455,11,8,10,False,4352.105217,435.2105217,2936.105217,1416.0,227,216,5,17,1.6880000000019209,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90048,7dce8a94a11d6ffb0e9a910296bc76a66a47fa05dd4484665e8196d571bf8455,11,8,10,False,4345.105217,434.5105217,2936.105217,1409.0,226,214,5,17,1.6719999999986612,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90049,da8ddccf9cb23ee00089457dbde69ddf5c78baa29aed03747e6e134a52fa740e,15,10,14,False,5599.476066,399.96257614285713,3991.476066,1608.0,254,241,9,23,1.9059999999990396,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90049,da8ddccf9cb23ee00089457dbde69ddf5c78baa29aed03747e6e134a52fa740e,15,10,14,False,5599.476066,399.96257614285713,3991.476066,1608.0,254,241,9,23,1.875,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90050,6c4b74f60dd00bcd639d950e37e05903567ac9db7659aa2a32c41dde36da8873,10,2,10,True,4334.910205,433.4910205,2957.910205,1377.0,218,210,9,17,1.610000000000582,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90050,6c4b74f60dd00bcd639d950e37e05903567ac9db7659aa2a32c41dde36da8873,10,2,10,True,4314.620612,431.4620612,2943.620612,1371.0,217,209,9,17,1.6409999999996217,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90051,fbda1f0442212829a693131f6e115f7a588fa507081b5f77f0fa0299d6d778d9,11,10,10,False,5157.064834,515.7064834,3628.064834,1529.0,238,226,21,17,1.6559999999990396,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90051,fbda1f0442212829a693131f6e115f7a588fa507081b5f77f0fa0299d6d778d9,11,10,10,False,5157.064834,515.7064834,3628.064834,1529.0,238,226,21,17,1.6870000000017171,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90052,b1a8bc32ca80db4b869942817223fb067b1626991ed377edeaff4707dc16ff10,16,3,16,True,4259.529661,266.2206038125,3402.529661,857.0,125,116,12,19,1.610000000000582,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_071_mec20_rescan_gate\workspace\code,v439-mec20-rescan-gate,90052,b1a8bc32ca80db4b869942817223fb067b1626991ed377edeaff4707dc16ff10,16,3,16,True,4235.529661,264.7206038125,3402.529661,833.0,121,112,12,19,1.6090000000003783,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,90054,c9262e0f98bc11dca09da3d4d9d755cc02d728d2ca51bab441601e0ea03497eb,10,6,9,False,4659.326717,517.7029685555556,3274.326717,1385.0,221,208,9,16,1.3909999999996217,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
