version,program_version,seed,generator_seed_hex,n,directional,cleared,all_clear,virtual_time_s,average_clear_time_s,move_time_s,action_time_s,measure_count,channel_switch_count,clear_failure_count,census_count,wall_time_s,counts_match,time_accounting_match,code_unchanged_during_run,network_access,benchmark_sha256,simulator_sha256
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,1024,d0f2cabe551457a8eef53042f6199c012fc1a16aecb484ba80983fe9c55b28fa,10,8,10,True,4968.707571,496.8707571,3353.707571,1615.0,254,244,17,17,1.6090000000003783,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,1024,d0f2cabe551457a8eef53042f6199c012fc1a16aecb484ba80983fe9c55b28fa,10,8,10,True,4968.707571,496.8707571,3353.707571,1615.0,254,244,17,17,1.5780000000013388,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,50001,ca54ff143d42c25fcef31d3ac9f922096d5344ede1c08b13f90c6f6a735c6683,15,8,13,False,4936.194947,379.7073036153846,3626.194947,1310.0,199,190,20,19,1.7340000000003783,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,50001,ca54ff143d42c25fcef31d3ac9f922096d5344ede1c08b13f90c6f6a735c6683,15,8,13,False,4924.497361,378.80748930769226,3626.497361,1298.0,197,188,20,19,1.6869999999980791,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,50001,ca54ff143d42c25fcef31d3ac9f922096d5344ede1c08b13f90c6f6a735c6683,15,8,13,False,4924.497361,378.80748930769226,3626.497361,1298.0,197,188,20,19,1.5619999999980791,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,50006,d40d6cf939b13cef80b78559c8560ac4e323ee12e868ffa1fda6564dd06159d4,15,2,15,True,4170.880303,278.0586868666667,3260.880303,910.0,138,130,5,18,1.6559999999990396,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,50006,d40d6cf939b13cef80b78559c8560ac4e323ee12e868ffa1fda6564dd06159d4,15,2,15,True,4161.972049,277.46480326666665,3266.972049,895.0,135,124,7,18,1.7190000000009604,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_070_mec80_rescan_gate\workspace\code,v438-mec80-rescan-gate,50006,d40d6cf939b13cef80b78559c8560ac4e323ee12e868ffa1fda6564dd06159d4,15,2,15,True,4154.692469,276.97949793333333,3268.692469,886.0,133,122,8,18,1.75,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_066_adaptive_probe4_guard11\workspace\code,v436-adaptive-probe4-guard11,50010,585ae0f7a1c8e69f7388275f6016d631511cb99bb4a1b5779b2e17f4dbac6a73,15,9,13,False,4498.395377,346.0304136153846,3106.395377,1392.0,208,200,29,19,1.7029999999977008,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
q4_iterations\iter_069_mec40_rescan_gate\workspace\code,v437-mec40-rescan-gate,50010,585ae0f7a1c8e69f7388275f6016d631511cb99bb4a1b5779b2e17f4dbac6a73,15,9,13,False,4658.846613,358.37281638461536,3320.846613,1338.0,198,184,33,19,1.7340000000003783,True,True,True,blocked_by_python_audit_hook,a56410dbdb2101e5af10affcc60fde342fc2f580bd20ed6e1c91273cd90b1c4d,a677095911df518d8442cc7d35b2a623f527e4f2b4462326375a9056f3f1c3ec
